query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",graphrag,2,2-hop,True,True,"All claims about GNSS bands/constellations required for tracking on Stratos-7, AeroLynx-X2, and Nimbus-C3 are directly supported by GPS-009 and CDL-024."
"Can the control station’s 2 Hz engine telemetry support validating waypoint fuel-flow prediction accuracy, given the engine status message content and rate published for downstream flight management use?",agentic-graph,0,2-hop,False,True,All claims refer only to the (lack of) context content and correctly cite explicit rates for ICE and FCC messages from the contexts; no information about engine telemetry or fuel-flow accuracy is pres
"For Stratos-7 max-brake-energy landings, how must brake cooling and software assurance align with the landing gear and braking specification?",graphrag,1,2-hop,True,True,"All claims are directly supported by the requirements chunks, including brake energy, cooling, and software assurance levels."
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,adaptive,2,1-hop,True,False,"The claim about the 10 Hz background tasks not violating outer-loop jitter is supported, but the detailed mapping to autopilot transport latency and timing determinism is not explicitly stated in the "
Which avionics processing requirement traces through the security and built-in test specifications to the inspection criterion it ultimately satisfies?,vanilla,0,3+-hop,False,True,"All claims are supported by the retrieved contexts, including the trace from SEC-035 to ENG.ENG-037 and the limited BIT information."
"How would the 60-minute HIL data review confirm the recorder captures BIT fault information from the mandatory parameter set, given the subsystem’s published health-status message details?",vanilla,1,2-hop,False,True,All claims are qualified based on retrieved requirements and do not invent information outside the provided contexts.
"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",vanilla,1,1-hop,False,True,"All claims about Skyrunner-T1's FCC architecture, requirement derivation, and power configuration are supported by the retrieved contexts."
Which power hold-up requirement ensures the EMS maintains state through a 50 ms essential-bus interruption?,agentic,2,1-hop,False,True,The answer only refers to requirements and limits (50 ms break time per EPS-009) found in the contexts and correctly notes that no EMS hold-up requirement is present.
"How is a malformed GCS command screened against table-defined limits, sequence, and authentication before rejection and prevention of propagation into the control laws?",agentic-graph,0,2-hop,True,True,Every factual claim in the answer is explicitly supported by FCC-031 and FCC-040 and their Command_Validation table.
Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,vanilla,0,1-hop,True,True,"All payload command ID ranges, targets, and requirement references are present in the retrieved contexts."
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,1,1-hop,False,True,"All claims are supported by the retrieved requirements, which enumerate the relevant SAR_STATUS_MSG fields and its update rate as inputs to BIT."
"For maintenance-only external GNSS aiding used to reduce TTFF after storage, what operator authentication must be completed first, and where is it enforced?",agentic-graph,1,2-hop,True,True,All claims about operator authentication requirements and enforcement across interfaces for maintenance-only GNSS aiding are explicitly supported by GPS-029 and SEC-015.
Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,graphrag,0,1-hop,False,True,"All claims are directly supported by the retrieved contexts, referencing SAR_STATUS_MSG fields, 1 Hz update rate, and the BIT aggregation function."
"During fault-injection testing, if the APU self-shuts down on a monitored health exceedance during start, what EPS mode transition and RTB behavior must be demonstrated?",vanilla,1,2-hop,True,True,"All claims about the required mode transition to BATT_ONLY and issuing RTB to AUTO during APU self-shutdown on a health exceedance are directly supported by EPS-011, APM-023, and EPS-024."
"What EPS status publication rate is required for the flight data recorder, and which endpoint requirement defines that interface?",agentic-graph,1,1-hop,True,True,Both the 5 Hz publication rate and reference to FDR.FDR-028 as the endpoint interface requirement are directly stated in EPS-016.
What test evidence shows linked-mode pilot commands meet the ground-station latency requirement while being received and routed by the command data link?,vanilla,0,2-hop,True,True,"All claims about requirements, test evidence, and their relationships are supported by the retrieved contexts."
"How do the data link crypto module and key-retention requirements support authenticated autonomous autopilot mode engagements, particularly for exceptions like DAA Resolution and RTB?",agentic,2,2-hop,False,True,"The answer accurately limits its claims to what is present in the retrieved contexts and correctly notes the lack of data link crypto and key-retention requirements, as well as handling for DAA Resolu"
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,1,3+-hop,False,True,All claims in the answer are supported or directly verified as not present by the retrieved contexts.
"After the command link is lost, what warning and command inhibit must the GCS provide while the aircraft returns to the current authenticated rally point?",agentic,0,2-hop,True,True,"All claims about GCS warning, command inhibit, and RTB to current rally point are explicitly supported by retrieved contexts."
"When flying an LPV or LNAV/VNAV approach, what SBAS processing and resulting GPS-aided NAV accuracy must be maintained, and what minima remain if SBAS is lost?",adaptive,2,2-hop,False,True,The answer accurately states that the required information is not present in the retrieved contexts and only summarizes supported contents without unsupported claims.
Which flight management 4D trajectory and RTA capability underpins the flight control computer’s continuous conformance monitoring and deviation alerting for civil operations?,graphrag,1,1-hop,True,True,"All claims are directly supported by the retrieved requirement contexts, with cited IDs matching literal content."
Which power requirement provides the continuously available hold-up energy the CDL relies on to ride through a 50 ms Category Z interruption?,graphrag,1,1-hop,True,True,"All claims are supported in the retrieved contexts, which state that PWR-018 provides hold-up energy for the CDL during a 50 ms interruption, and CDL-025 depends explicitly on PWR-018."
"How do the automated control functions trace through security and emergency management constraints to the cockpit display behavior, and what end-to-end dependency does that imply?",graphrag,2,3+-hop,False,True,"Every claim is grounded in the retrieved requirement chunks, and the absence of cockpit display requirements is correctly identified."
"Which security requirement referenced by the autonomy control requirement is satisfied by the same control requirement and, through that linkage, points to the downstream autonomy interface requirement?",agentic-graph,2,3+-hop,True,True,"All claims about SEC-010, AUTO-006, and AUTO-034 are directly supported and traced in the contexts."
"How does the ground control requirement ultimately propagate through autonomy and energy management to the flight data recorder, and what recorder behavior is required as a result?",agentic-graph,2,3+-hop,False,True,All answer claims are grounded in the retrieved contexts and accurately constrained by what is and is not present in the requirements.
"Which display-level operator need ultimately traces through SAR processing and payload design to both EO/IR and radar sensing constraints, and what subsystem dependencies drive that allocation?",vanilla,0,3+-hop,False,True,"Every factual claim in the answer is directly supported by the retrieved contexts, with no unstated details or requirements introduced."
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,2,1-hop,False,True,"All claims about [FMS-018] and [FUEL-014] are directly supported and accurately referenced, with scope limitations on [FUEL-002] correctly characterized."
Which autonomy requirement is ultimately traced from the referenced security control through the data link requirement and subsequent security/autonomy satisfaction links?,agentic,2,3+-hop,False,True,The answer only summarizes what is directly supported by the contexts and correctly states that no traceability chain or specific autonomy requirement can be determined from the provided information.
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,agentic-graph,2,3+-hop,False,True,"The answer accurately states that the retrieved contexts do not provide a trace chain involving automated control and radar subsystem dependencies or a referenced automation constraint, and confines i"
Which flight data recorder requirement is ultimately referenced by the emergency monitoring requirement cited by the autonomous function verification requirement?,graphrag,2,3+-hop,True,True,"All claims and trace steps are explicitly supported by the retrieved contexts, especially EMS-008 and FDR-045."
"Which flight control computer requirement is ultimately referenced by the power verification path through the communications data link, and what upstream power requirement does it trace back to?",adaptive,0,3+-hop,True,False,"The claim cites PWR-018, but no context explicitly contains PWR-018's text or proves its existence; inferring its ID is not fully supported."
"During an MBIT firmware update, how should invalid or expired signature detection drive FMS mode transition and allowable navigation capability?",agentic-graph,0,2-hop,False,True,"All claims are supported by, or directly quoted from, the retrieved contexts, with clear acknowledgement of missing relevant requirements."
Which flight data recorder requirement is verified by the flight control computer’s obligation to log every mode transition for the last 50 flight hours?,vanilla,1,1-hop,True,True,All claims about the relationship between FCC-012 and FDR-008 and their verification linkage are directly stated in the retrieved contexts.
"If a condition escalates to WARNING, how quickly must the ground station annunciate it, and what audio cue and repeat behavior are required?",agentic,2,2-hop,True,True,"All claims are directly supported by the retrieved contexts regarding EMS_WARNING delivery time, required audio, and repeat behavior."
"For authenticated in-flight mode changes, how do the message authentication methods and key-rotation policy align with the Link 16 terminal’s approved crypto module and 30-day key storage?",agentic,2,2-hop,True,True,"All claims about authentication methods, key rotation, and Link 16 key storage are directly supported and differentiated correctly by the retrieved requirements."
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,vanilla,0,2-hop,True,True,"All claims about the verification process, test standards, active transmitters, and outputs to check are directly supported by RADAR-024 and RADAR-009; the answer correctly refrains from adding extra "
Which flight control computer requirement ultimately traces the EMS command/data link interface constraint back to the originating EMS behavior requirement?,agentic-graph,0,3+-hop,False,True,The answer correctly states that no retrieved FCC requirement directly traces the EMS command/data link interface constraint back to the originating EMS behavior requirement based on the contexts.
How do the navigation power allocation constraints propagate through the command/data link back into power management and ultimately affect the flight control computer interface requirements?,vanilla,0,3+-hop,False,True,All claims and cross-system relationships are grounded explicitly in the retrieved requirements without unsupported speculation about navigation power allocation or data link chains.
Which communications requirement is ultimately fulfilled by the automatic control requirement through the referenced security and command/data link requirements?,agentic-graph,1,3+-hop,True,True,"Every claim directly corresponds to information in the retrieved contexts, with the requirement trace from AUTO-006 through SEC-010 to COMM-019 explicitly stated."
"At what rate must the recorder log the communications data link health/status word, given mandatory-parameter native-rate recording and the health word’s own update requirement?",agentic-graph,0,2-hop,True,True,"All claims are directly supported by the contexts regarding FDR recording at mandatory parameter native rate (1 Hz for CDL state) and CDL_HEALTH_WORD update rate (2 Hz), with no unsupported claims."
Can the GCS uplink a flight plan change over the command data link while requiring operator confirmation before the FMS activates it?,agentic-graph,1,2-hop,True,True,All claims about GCS and FMS requirements for flight plan uplink and operator confirmation are explicitly supported by GCS-011 and FMS-022 in the contexts.
"Which flight management interface requirement traces through the security control to satisfy the top-level flight management requirement, and what end-to-end rationale links them?",adaptive,0,3+-hop,False,True,"Every factual claim is grounded in the retrieved contexts, and all additional caveats are explicitly flagged as limitations due to missing IDs or texts."
Which structural requirement defines the dedicated payload-bus routing and shielding needed to support the payload controller’s single-LRU installation near the bay rack?,vanilla,1,1-hop,True,True,All statements are directly supported by the retrieved requirements STR-038 and PLD-003.
"Given the SAR’s EMC coexistence with the CDL, which GNSS bands and constellations must remain trackable on Stratos-7, AeroLynx-X2, and Nimbus-C3?",adaptive,2,2-hop,True,True,"All claims about required GNSS bands and constellations are directly supported by context [GPS-009], with no added or contradicted details."
"Does the flight-plan upload path use the same public-key signature controls as field firmware updates over MBIT, including GCS countersignature and rejection of invalid, expired, or revoked loads?",agentic-graph,1,2-hop,False,True,The answer only summarizes what is and isn't present in the retrieved contexts and does not introduce unsupported claims.
"Which GPS requirement traces through the security and emergency-management requirements to ultimately satisfy the navigation requirement, and what end-to-end rationale links them?",agentic-graph,1,3+-hop,False,True,"The answer exclusively uses information from retrieved contexts, noting missing exact requirement texts, and correctly describes the trace links and rationale as supported by SEC-028 and EMS-033."
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",graphrag,2,2-hop,True,True,"All claims about flight-critical buses staying powered, transition timing, and non-essential loads being shed are directly supported by PWR-006 and PWR-034; the answer notes the lack of Load_Shed_Prio"
Which data link requirement is ultimately implicated by the flight control requirement that references a security control via an intermediate control requirement?,vanilla,1,3+-hop,False,True,The answer accurately reflects that there is insufficient information in the retrieved contexts to trace the chain or identify the implicated data link requirement.
"How is an uplinked flight plan modification protected if cryptographic keys are zeroised, and what verification demonstrates the data link goes safely OFF afterward?",adaptive,1,2-hop,False,True,All statements in the answer correctly reflect the absence of relevant requirements in the retrieved contexts and do not add unsupported claims.
"If the operator commands autonomous-flight mode engagement from the ground station, how must the command be routed, and which modes still require explicit authenticated engagement?",adaptive,2,2-hop,False,True,"All claims are grounded in the retrieved contexts, which support mode engagement routing and authentication details, and enumerate modes that require explicit operator engagement."
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,graphrag,2,3+-hop,True,True,"[SEC-028] explicitly states it satisfies [NAV-028], supporting the answer's traceability."
How does the APM guidance requirement trace through security and built-in test constraints into flight-control behavior and ultimately the landing subsystem requirement?,vanilla,2,3+-hop,False,True,"All claims in the answer are strictly derived from or limited by the retrieved contexts, with unsupported links explicitly called out."
"In the 60-minute HIL recorder coverage check, how is compliance shown for the autopilot mode parameter sourced from the autopilot annunciation output at 2 Hz?",agentic-graph,0,2-hop,True,True,"All claims about publication rate, source, required recording, and absence of coverage continuity criteria are directly grounded in the contexts."
How is radar-altimeter EMC coexistence verification performed while the onboard GNSS receiver tracks its required frequencies with CDL transmissions active?,graphrag,0,2-hop,True,True,"All claims are directly supported by the retrieved requirement chunks, including methods, pass/fail criteria, and limitations in detail."
Which command-authentication fault-injection verification demonstrates compliance with the cited security assurance activities reference set?,agentic,2,1-hop,False,True,"All claims about the verification methods, reference sets, and distinctions among requirements are supported by the retrieved contexts."
Which published fuel-status data does the flight control computer rely on to constrain commanded thrust to available fuel?,agentic-graph,2,1-hop,False,True,All claims are supported by the retrieved contexts and no unsupported details are introduced.
Which HMI requirement defines the suspend/resume controls and state indication needed to support the FMS suspended-mode resume behavior?,graphrag,1,1-hop,True,True,"[HMI-032] defines the required HMI suspend/resume controls and state indication, and it is referenced in [FMS-009] as grounding for SUSPENDED mode operations."
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,agentic-graph,0,2-hop,False,True,"All claims in the answer are supported by the context, which does not provide the requested information about INS maintenance port access, and the answer accurately reports this."
How is the 10 Hz FCC background health monitoring constrained to avoid violating the outer-loop 50 Hz guidance jitter requirement?,graphrag,2,1-hop,True,False,"The claim about AUTO-011 outer-loop computations and transport latency is not supported by FCC-015; FCC-015 only constrains FCC background tasks, not AUTO timing/latency."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,graphrag,1,1-hop,True,True,Every claim in the answer is directly supported by APM-037 and APM-009 in the retrieved contexts.
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",agentic-graph,2,3+-hop,False,False,The answer introduces information about flight data recorder flow and traceability that is not present in the retrieved contexts.
